Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
Oberoi Realty,533273,OBEROIRLTY,INE093I01010,Realty,"Residential, Commercial Projects",1861.2,53.62,67673.66,6322.4,3560.94,56.32,55.89,25.58,3.82,2.78,10.18,0.16,14.55,11654.23,271.66,324.04,492.03,10183.22,5.38,0.25,-0.31,0.76,0.43,6.29
Oil India,533106,OIL,INE274J01014,Oil,Oil Exploration & Production,481.2,61.86,78272.4,38520.79,13663.85,35.47,31.58,9.33,1.35,-1.04,6.54,0.65,12.19,1512.16,2825.5,4523.01,3357.6,5872.47,12.41,0.7,-0.39,2.73,2.34,9.38
Petronet LNG,532522,PETRONET,INE347G01014,Gas,LPG/CNG/PNG/LNG Supplier,291.65,60.35,43747.5,37172.89,5711.36,15.36,12.27,10.39,1.98,1.87,14.29,0.11,18.56,10370.18,855.0,1039.41,734.98,907.2,15.92,0.74,-0.86,0.41,3.47,10.65
Pfizer,500680,PFIZER,INE182A01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,4691.0,42.82,21460.23,2569.77,941.63,36.64,35.89,27.91,5.13,3.45,15.43,0.02,18.02,3175.74,116.46,181.8,215.94,472.66,5.68,0.91,-1.16,0.07,1.59,15.91
PNB Housing,540173,PNBHOUSING,INE572E01012,Finance,Housing Finance Company,1138.2,60.43,29684.69,8699.84,8207.31,94.34,94.8,12.62,1.54,0.42,2.65,3.7,12.91,787.19,-0.79,47.15,14.49,0.0,8.27,1.64,0.21,8.75,0.7,6.05
Power Fin.Corpn.,532810,PFC,INE134E01011,Finance,Financial Institution,346.0,20.36,114183.49,115431.43,112435.83,97.4,97.25,4.34,0.8,0.25,2.78,7.0,20.69,14243.31,11.85,230.43,172.78,0.0,10.14,-0.55,0.9,8.9,5.38,28.88
Power Grid Corpn,532898,POWERGRID,INE752E01010,Power,Power - Transmission,264.15,39.07,245675.51,47033.37,34394.65,73.13,70.25,15.54,2.46,-9.03,5.26,1.47,15.26,-20434.46,1698.5,11672.59,955.81,2127.19,5.97,0.57,-0.69,6.42,3.37,18.71
Punjab Natl.Bank,532461,PNB,INE160A01022,Banks,Public Sector Bank,114.35,53.95,131421.78,131788.93,98411.39,74.67,74.74,5.87,0.84,0.08,0.95,11.79,12.99,212006.96,17629.28,0.0,0.0,0.0,6.09,0.01,-0.46,15.89,2.59,15.39
REC Ltd,532955,RECLTD,INE020B01018,Finance,Financial Institution,315.0,24.99,82946.56,59202.49,56393.71,95.26,95.69,5.26,0.98,0.39,2.6,6.1,20.12,6422.26,53.09,293.21,179.7,0.0,9.45,0.62,-0.03,9.13,5.83,19.33
Rites,541556,RITES,INE320J01015,Construction,Civil Construction,218.4,45.53,10496.38,2457.79,554.62,22.57,22.94,25.19,3.87,-2.85,7.54,0.0,15.42,1794.28,132.41,931.22,320.41,34.6,8.28,0.04,-0.04,0.01,3.68,22.25
S C I,523598,SCI,INE109A01011,Transport Services,Shipping,289.0,56.81,13461.67,6310.31,2525.27,40.02,37.83,8.26,1.47,0.56,10.46,0.29,15.04,2567.35,436.01,1192.39,1211.08,273.67,11.47,-0.4,0.0,1.44,2.56,21.63
Sagility,544282,SAGILITY,INE0W2G01015,IT - Services,IT Enabled Services,47.0,70.12,22002.24,7617.39,1849.06,24.27,24.53,21.44,2.36,0.25,8.15,0.11,10.58,711.17,57.78,1839.03,221.66,0.0,6.55,-0.86,-0.03,0.76,0.32,18.83
Sarda Energy,504614,SARDAEN,INE385C01021,Ferrous Metals,Iron & Steel,498.0,48.96,17548.54,5665.38,1823.67,32.19,31.41,15.67,2.36,0.7,10.25,0.36,16.09,3435.98,276.25,276.16,171.97,794.18,8.85,0.15,0.01,1.51,0.39,22.18
SBFC Finance,543959,SBFC,INE423Y01016,Finance,Non Banking Financial Company (NBFC),98.61,63.4,10928.02,1781.86,1226.06,68.81,69.25,22.74,2.9,0.51,4.58,1.92,13.05,557.16,0.68,20.29,11.42,0.0,6.91,-1.25,1.01,5.93,0.0,19.83
SBI,500112,SBIN,INE062A01020,Banks,Public Sector Bank,1060.0,49.39,978445.38,525747.06,236702.07,45.02,45.86,11.67,1.55,0.81,1.11,11.08,15.38,-17591.88,199966.51,0.0,0.0,0.0,5.67,0.41,-0.6,15.9,1.65,14.16
SBI Cards,543066,SBICARD,INE018E01016,Finance,Non Banking Financial Company (NBFC),650.0,48.98,61856.77,20063.29,5373.92,26.78,26.71,27.31,3.93,-19.93,3.29,2.8,14.69,-2246.07,819.01,283.1,1714.39,0.0,5.9,0.01,-0.56,7.27,0.4,32.64
Shriram Finance,511218,SHRIRAMFIN,INE721A01047,Finance,Non Banking Financial Company (NBFC),1094.0,47.51,257416.43,49997.06,36981.08,73.97,73.82,22.76,3.04,1.22,3.26,3.8,16.39,12265.74,71.39,51.78,332.42,0.0,7.29,-3.39,9.6,6.9,0.98,5.17
South Ind.Bank,532218,SOUTHBANK,INE683A01023,Banks,Private Sector Bank,45.68,46.3,11964.97,10111.87,6745.83,66.71,65.72,7.9,1.03,0.34,1.09,10.97,13.51,10415.2,1767.09,0.0,0.0,0.0,6.24,1.49,1.18,15.2,0.97,8.46
