Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Petronet LNG,532522,PETRONET,INE347G01014,Gas,LPG/CNG/PNG/LNG Supplier,254.69,40.38,38203.5,46368.57,4986.52,10.75,10.84,10.51,1.81,2.25,14.92,0.12,21.16,12090.29,861.26,2494.88,1838.76,1277.29,17.08,1.8,-1.73,0.5,21.99
Pfizer,500680,PFIZER,INE182A01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,4887.1,54.9,22357.37,2482.33,895.64,36.08,32.52,29.36,5.81,18.58,14.02,0.01,16.4,2831.08,306.42,243.97,217.94,500.47,5.22,-0.06,0.11,0.04,18.45
PNB Housing,540173,PNBHOUSING,INE572E01012,Finance,Housing Finance Company,784.4,47.23,20437.51,8371.3,7852.47,93.8,92.72,9.1,1.14,0.27,2.52,3.62,12.27,781.46,27.84,31.03,22.83,0.0,9.46,2.34,-1.39,8.33,31.31
Power Fin.Corpn.,532810,PFC,INE134E01011,Finance,Financial Institution,402.25,49.42,132746.59,115789.12,110900.96,95.78,96.42,5.26,1.05,0.29,2.75,7.88,21.01,18683.87,148.76,293.09,193.17,0.0,9.88,-0.56,-0.51,9.02,9.42
Power Grid Corpn,532898,POWERGRID,INE752E01010,Power,Power - Transmission,289.95,42.93,269671.01,47342.61,38958.15,82.29,84.81,17.37,2.73,6.27,5.91,1.37,17.0,-3892.53,2001.03,9766.44,661.04,1883.52,7.06,0.86,-0.93,4.85,9.95
Punjab Natl.Bank,532461,PNB,INE160A01022,Banks,Public Sector Bank,104.48,36.88,120078.27,130497.41,94561.4,72.46,72.67,6.75,0.81,0.1,1.07,12.01,15.17,195148.11,19386.89,0.0,0.0,0.0,6.15,0.55,0.26,15.7,22.69
Ratnamani Metals,520111,RATNAMANI,INE703B01027,Industrial Products,Iron & Steel Products,2255.2,47.2,15807.15,5124.29,906.23,17.68,15.88,26.51,4.08,1.4,12.11,0.06,16.01,2182.63,79.28,924.46,325.39,1220.41,5.49,0.13,-0.04,0.27,26.06
REC Ltd,532955,RECLTD,INE020B01018,Finance,Financial Institution,324.8,45.62,85527.12,60259.7,57792.15,95.91,96.18,4.96,1.02,0.3,2.73,6.18,21.51,12770.98,151.97,264.89,2.75,0.0,9.72,0.35,-1.51,8.91,27.5
S C I,523598,SCI,INE109A01011,Transport Services,Shipping,228.55,45.47,10645.86,5591.77,1938.24,34.66,31.49,9.39,1.25,-9.58,7.02,0.33,10.53,2033.73,424.84,1216.72,862.24,153.16,10.56,-0.17,0.64,2.09,18.52
Sarda Energy,504614,SARDAEN,INE385C01021,Ferrous Metals,Iron & Steel,519.2,50.28,18295.64,5675.72,1710.47,30.14,26.65,17.44,2.61,-3.28,8.51,0.38,13.44,3061.27,289.02,305.74,207.61,684.61,8.09,0.06,-0.6,1.62,18.87
SBI,500112,SBIN,INE062A01020,Banks,Public Sector Bank,1018.4,38.94,940046.1,511355.9,228356.79,44.66,48.66,11.6,1.59,0.39,1.15,10.9,17.2,-33161.0,199770.93,0.0,0.0,0.0,5.9,-0.61,0.77,15.18,17.53
SBI Cards,543066,SBICARD,INE018E01016,Finance,Non Banking Financial Company (NBFC),638.2,31.42,60731.13,19639.11,5353.3,27.26,29.56,29.04,4.11,4.98,3.1,3.33,14.82,-795.71,717.92,364.58,1825.79,0.0,5.6,0.08,0.04,8.25,37.87
Shriram Finance,511218,SHRIRAMFIN,INE721A01047,Finance,Non Banking Financial Company (NBFC),891.6,39.45,167760.37,47073.75,34212.12,72.68,72.05,18.34,2.77,0.41,3.04,3.87,15.57,12046.73,46.67,26.68,333.98,0.0,8.57,2.64,-2.4,6.98,19.53
Shriram Pistons,544344,SHRIPISTON,INE526E01018,Auto Components,Auto Components & Equipments,2928.4,46.42,12899.55,3991.4,818.6,20.51,20.4,22.98,4.89,0.5,14.87,0.2,23.2,1491.4,89.9,590.8,405.0,506.7,6.5,-0.09,0.63,0.66,14.29
Sun TV Network,532733,SUNTV,INE424H01027,Entertainment,TV Broadcasting & Software Production,595.35,52.18,23461.83,4394.12,2204.87,50.18,53.03,14.45,1.9,3.77,14.47,0.01,15.69,7059.03,645.86,1466.4,424.29,0.0,9.26,0.45,-0.24,0.07,13.89
Sundaram Finance,590071,SUNDARMFIN,INE660A01013,Finance,Non Banking Financial Company (NBFC),4538.0,36.89,50418.93,9507.57,7557.21,79.49,80.42,23.91,3.33,1.43,2.66,4.35,15.27,1114.11,9.54,89.17,191.66,0.0,6.45,0.06,0.07,8.91,19.57
Tata Capital,544574,TATACAP,INE976I01016,Finance,Non Banking Financial Company (NBFC),308.55,40.82,130975.43,30855.5,22350.94,72.44,71.64,29.58,3.61,0.97,1.72,5.88,12.92,1922.56,33.85,130.76,1624.34,0.0,6.44,,,9.73,16.08
Tata Power Co.,500400,TATAPOWER,INE245A01021,Power,Integrated Power Utilities,385.0,50.44,123020.57,64624.27,12977.52,20.08,18.58,32.52,3.26,1.58,3.05,1.86,10.97,-11313.9,3283.04,6798.91,7209.85,5251.53,6.31,0.86,-0.19,6.04,7.99
TCS,532540,TCS,INE467B01029,IT - Software,Computers - Software & Consulting,2450.7,42.34,886684.71,260802.0,70102.0,26.88,26.4,17.35,8.33,2.12,32.07,0.1,52.38,79215.0,147.0,54182.0,14246.0,26.0,7.84,0.17,0.04,0.16,32.5
Techno Elec.Engg,542141,TECHNOE,INE285K01026,Construction,Civil Construction,1049.4,46.73,12204.48,3057.39,456.46,14.93,14.96,26.03,3.14,2.04,9.62,0.02,12.81,3710.28,195.76,774.32,894.6,0.0,5.04,0.43,-0.69,0.1,36.58
Torrent Power,532779,TORNTPOWER,INE813H01021,Power,Integrated Power Utilities,1332.2,38.03,67130.03,29016.58,5522.53,19.03,18.25,21.26,3.57,0.44,8.28,0.55,19.03,2117.26,366.08,3440.93,2281.23,778.98,5.58,0.58,-0.5,2.42,18.77
TVS Holdings,520056,TVSHLTD,INE105A01035,Finance,Investment Company,13983.0,47.61,28290.55,54367.29,8616.2,15.85,15.21,18.05,5.12,0.49,4.78,6.25,30.2,-1080.43,7.53,2216.37,9263.55,2544.8,12.71,-0.01,0.12,4.71,14.2
Ujjivan Small,542904,UJJIVANSFB,INE551W01018,Banks,Other Bank,55.42,51.1,10766.52,6626.43,2549.05,38.47,46.4,21.79,1.72,0.39,1.65,6.77,12.42,2594.8,1070.51,0.0,0.0,0.0,7.16,8.54,-1.6,11.65,18.5
Union Bank (I),532477,UNIONBANK,INE692A01016,Banks,Public Sector Bank,171.99,45.0,131290.38,108368.24,72801.23,67.18,67.96,6.93,1.0,0.14,1.24,9.95,17.05,87242.09,21825.52,0.0,0.0,0.0,6.8,0.21,0.28,13.78,16.3
UTI AMC,543238,UTIAMC,INE094J01016,Capital Markets,Asset Management Company,941.15,42.77,12095.66,1567.1,966.11,61.65,63.48,16.95,3.41,1.05,16.02,0.0,17.5,-99.34,-104.23,57.23,36.3,0.0,7.75,0.29,-0.35,0.0,37.04
Vedanta,500295,VEDL,INE205A01025,Diversified Metals,Diversified Metals,687.65,51.96,268897.83,120395.0,33165.0,27.55,27.68,24.47,6.7,-2.38,9.77,2.12,38.48,-21699.0,7423.0,3714.0,11857.0,17237.0,7.91,-0.94,1.07,3.14,10.69
Waaree Energies,544277,WAAREEENER,INE377N01017,Electrical Equipment,Other Electrical Equipment,3070.7,57.27,88329.1,22060.45,5254.46,23.82,18.84,25.37,7.69,0.13,12.4,0.26,27.42,5044.47,366.62,1310.36,2901.77,4708.82,6.08,0.04,0.56,0.58,20.55
Welspun Corp,532144,WELCORP,INE191B01025,Industrial Products,Iron & Steel Products,846.85,57.54,22339.11,16382.55,2192.02,13.38,12.05,14.39,2.73,0.36,8.93,0.19,18.59,2174.29,904.98,1629.25,2650.1,5152.72,9.86,-0.34,-0.34,0.68,14.86
Wipro,507685,WIPRO,INE075A01022,IT - Software,Computers - Software & Consulting,194.91,44.36,204429.65,90891.9,17525.9,19.28,20.23,15.41,2.39,6.73,10.82,0.19,16.59,42836.5,4259.9,11862.6,6085.9,74.0,9.1,0.52,-0.23,0.86,28.64
Zensar Tech.,504067,ZENSARTECH,INE520A01027,IT - Software,Computers - Software & Consulting,543.7,44.04,12365.39,5595.9,893.0,15.96,15.47,16.28,2.89,1.08,12.77,0.03,16.43,2517.8,189.5,797.8,359.7,0.0,8.71,0.88,-1.5,0.12,39.23
Zydus Lifesci.,532321,ZYDUSLIFE,INE010B01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,864.25,41.42,86963.77,26089.3,8046.2,30.84,30.37,17.02,3.44,8.26,14.64,0.38,21.21,8865.4,117.2,4962.7,2461.5,4750.1,7.85,0.22,-0.28,1.31,18.39
