Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aptus Value Hou.,543335,APTUS,Finance,338.50,16922.99,1875.74,1584.23,84.46,84.58,21.19,3.92,0.80,7.42,1.59,18.58,449.78,48.18,0.00,3.55,0.00,6.93,6.16,2.67,4.24,15.73
AU Small Finance,540611,AUBANK,Banks,741.05,55238.64,16673.13,8607.88,51.63,53.37,25.29,3.21,1.09,1.58,7.92,14.19,7006.29,2827.65,0.00,210.84,0.00,6.25,1.70,2.10,11.89,11.88
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,1079.80,63269.65,31723.73,6551.10,20.65,20.65,18.16,1.94,2.24,7.37,0.25,11.15,12480.12,621.85,5745.93,4188.85,10543.72,8.73,0.70,-0.95,1.50,32.20
Axis Bank,532215,AXISBANK,Banks,1062.40,329547.41,128563.88,78314.42,60.91,63.58,11.83,1.76,0.46,1.78,7.43,16.30,90167.24,29958.10,0.00,6193.80,0.00,6.54,0.35,-0.13,12.85,17.11
Bajaj Finance,500034,BAJFINANCE,Finance,875.60,544122.93,73107.06,50059.96,68.47,68.79,31.23,5.63,0.94,3.99,3.74,19.22,12937.90,59.18,1913.11,1878.04,0.00,5.52,-0.26,0.26,7.34,10.54
Bajaj Finserv,532978,BAJAJFINSV,Finance,1916.30,306188.95,137779.99,51699.34,37.52,37.01,32.15,4.23,1.29,2.96,4.92,13.39,-121431.86,29.53,8319.35,7964.85,0.00,7.81,1.10,0.87,7.05,10.24
Bajaj Housing,544252,BAJAJHFL,Finance,112.91,94080.39,9982.68,9123.08,91.39,91.85,41.56,4.71,0.92,2.35,4.11,13.46,-212.69,3.01,21.88,76.46,0.00,5.16,-0.13,-0.08,9.04,40.10
Bandhan Bank,541153,BANDHANBNK,Banks,163.42,26326.49,21888.01,10207.15,46.63,51.91,12.82,1.07,0.07,1.49,6.60,11.88,12067.61,3132.05,0.00,749.30,0.00,7.33,0.16,1.61,12.17,24.15
Bank of Baroda,532134,BANKBARODA,Banks,235.13,121594.24,130143.00,81093.72,62.31,64.41,6.25,0.79,0.16,1.18,10.37,15.53,0.00,25344.36,0.00,0.00,0.00,6.41,0.82,-0.90,14.97,11.92
Bank of India,532149,BANKINDIA,Banks,109.29,49756.11,72728.68,51338.40,70.59,71.03,5.04,0.61,0.12,0.94,11.91,12.35,0.00,9458.93,0.00,0.00,0.00,6.37,0.07,-0.35,15.72,16.16
Bank of Maha,532525,MAHABANK,Banks,54.27,41742.07,26126.89,16663.95,63.78,62.68,7.26,1.45,0.11,1.64,11.53,22.81,37828.80,3386.14,0.00,663.37,0.00,5.97,-0.27,0.17,16.51,15.41
Birlasoft Ltd,532400,BSOFT,IT - Software,400.85,11143.75,5375.24,697.50,12.98,12.98,21.92,3.20,6.43,12.12,0.04,15.59,920.79,108.48,980.16,235.33,10.39,6.53,-2.11,0.70,0.21,41.83
Brigade Enterpr.,532929,BRIGADE,Realty,982.70,24019.90,5074.21,1420.53,28.00,28.00,35.44,4.26,0.31,3.39,0.97,14.81,2337.32,233.01,629.12,785.77,8868.81,5.19,0.57,-0.88,4.02,32.23
Canara Bank,532483,CANBK,Banks,105.89,96049.13,123951.13,75867.53,61.21,62.10,5.20,0.91,0.12,1.08,14.67,17.75,162006.81,31349.49,0.00,2572.54,0.00,7.01,-0.44,0.84,14.18,11.24
Capri Global,531595,CGCL,Finance,175.36,16863.23,3533.58,2259.60,63.95,61.75,29.19,3.36,0.89,2.66,3.62,11.76,867.22,4.18,58.78,102.53,0.00,6.99,6.01,3.74,7.21,24.32
Castrol India,500870,CASTROLIND,Petroleum Products,218.41,21603.42,5461.61,1291.77,23.65,23.83,22.87,9.48,3.44,26.09,0.04,41.83,1292.57,96.71,437.69,703.65,524.21,6.35,0.35,-0.33,0.06,23.20
CEAT,500878,CEATLTD,Auto Components,3229.70,13064.17,13554.46,1478.99,10.91,11.15,28.48,2.99,0.36,4.65,0.49,11.72,-1732.81,-24.23,1653.31,2740.19,1411.53,6.03,-1.45,2.11,2.34,20.23
Central Bank,532885,CENTRALBK,Banks,35.93,32521.68,34053.81,19718.00,57.90,57.65,7.71,0.88,0.14,0.85,11.80,11.43,38551.56,6575.73,0.00,948.92,0.00,5.88,-0.81,-0.30,16.60,41.95
CESC,500084,CESC,Power,165.53,21942.17,17340.00,3182.00,18.35,15.82,15.92,1.83,41.89,3.65,1.50,11.67,-139.00,1189.00,2428.00,1588.00,725.00,8.82,0.28,-0.08,5.68,22.18
Chambal Fert.,500085,CHAMBLFERT,Fertilizers & Agrochemicals,518.30,20765.81,17410.58,2492.42,14.32,14.92,11.87,2.38,6.09,14.40,0.01,20.62,2447.93,339.97,367.92,630.27,1802.29,12.12,1.98,-3.07,0.04,30.19
Chola Financial,504973,CHOLAHLDNG,Finance,1828.40,34333.23,33196.06,18927.50,57.02,57.02,15.79,2.74,0.55,2.36,13.93,19.11,-8003.21,261.85,204.19,2289.25,0.00,9.49,-0.37,0.64,9.23,20.47
Cholaman.Inv.&Fn,511243,CHOLAFIN,Finance,1422.50,119657.49,27300.47,19069.10,69.85,70.32,26.87,5.05,1.05,2.38,7.40,19.71,7527.49,351.53,204.19,236.94,0.00,6.72,0.56,-0.27,9.13,15.55
CIE Automotive,532756,CIEINDIA,Auto Components,405.40,15379.35,8886.21,1301.88,14.65,15.07,19.65,2.22,0.71,8.47,0.07,13.15,1085.46,126.54,1268.42,1661.71,1110.20,6.96,0.57,-0.23,0.45,32.75
Cipla,500087,CIPLA,Pharmaceuticals & Biotechnology,1502.80,121388.85,27811.15,7190.24,25.85,25.87,22.57,3.89,0.87,14.72,0.01,17.76,10471.78,960.24,5506.37,2837.49,5642.11,5.81,1.09,-1.04,0.06,11.71
City Union Bank,532210,CUB,Banks,213.87,15847.94,6050.74,4168.14,68.89,70.59,13.60,1.67,0.98,1.51,6.94,12.58,5422.25,949.81,0.00,472.76,0.00,6.52,2.16,-0.66,12.84,8.09
Cyient,532175,CYIENT,IT - Services,1181.90,13128.81,7396.50,1101.60,14.89,15.47,20.99,2.47,3.84,8.87,0.10,12.81,2610.00,145.20,1406.70,393.40,576.60,7.93,1.50,-2.48,0.53,45.22
Deepak Fertilis.,500645,DEEPAKFERT,Chemicals & Petrochemicals,1558.50,19674.17,10651.84,1973.32,18.53,18.73,20.05,3.15,1.70,7.58,0.67,16.03,675.87,92.84,1617.21,1713.58,1068.80,7.08,0.94,0.52,2.51,12.37
Dr Reddy's Labs,500124,DRREDDY,Pharmaceuticals & Biotechnology,1220.60,101869.05,33519.90,8521.00,25.42,26.18,18.01,3.04,0.47,12.95,0.14,17.96,8653.60,1286.10,9042.00,2647.80,7108.50,7.69,1.10,-0.42,0.58,14.13
Engineers India,532178,ENGINERSIN,Construction,206.94,11630.90,3087.59,512.25,16.59,16.59,20.06,4.36,0.32,11.59,0.01,23.55,475.31,160.26,444.43,475.94,0.70,6.13,3.54,0.38,0.03,18.99
Federal Bank,500469,FEDERALBNK,Banks,196.06,48186.54,28106.08,19294.93,68.65,68.65,11.59,1.39,0.41,1.25,9.15,12.87,0.00,3924.17,0.00,0.00,0.00,6.75,-0.90,0.58,13.61,10.88
Finolex Cables,500144,FINCABLES,Industrial Products,878.00,13428.07,5318.89,541.28,10.18,10.18,19.16,2.44,3.59,11.76,0.00,13.42,3423.11,429.45,242.56,241.72,717.03,6.95,-0.50,0.10,0.02,43.68
Five-Star Bus.Fi,543663,FIVESTAR,Finance,598.25,17615.02,2968.38,2159.22,72.74,74.12,16.20,2.79,0.49,8.22,1.26,18.65,2072.20,19.46,0.00,26.72,0.00,9.18,0.39,-0.62,3.69,36.61
G M D C,532181,GMDCLTD,Minerals & Mining,381.90,12144.42,2765.31,595.06,21.52,22.36,18.25,1.89,1.18,9.07,0.02,10.95,1961.06,372.83,84.99,235.66,91.33,7.46,0.03,0.10,0.15,19.16
G R Infraproject,543317,GRINFRA,Construction,1215.00,11753.95,7352.19,1666.28,22.66,22.13,10.95,1.38,1.53,7.36,0.59,12.73,3221.87,465.02,224.72,875.27,538.01,11.75,0.11,0.04,2.67,31.55
GAIL (India),532155,GAIL,Gas,174.39,114663.16,142476.40,14310.54,10.04,10.87,11.77,1.35,-2.44,8.20,0.25,13.04,-397.81,5091.90,9436.44,7759.85,6249.92,9.98,-0.09,0.12,1.62,28.85
Godawari Power,532734,GPIL,Industrial Products,189.05,12655.07,5375.73,1193.71,22.21,22.21,15.59,2.58,-0.95,13.89,0.06,17.27,1328.94,108.89,132.34,459.95,931.82,9.35,0.24,-0.07,0.27,25.45
Granules India,532482,GRANULES,Pharmaceuticals & Biotechnology,451.75,10961.43,4481.61,947.72,21.15,21.15,22.79,2.95,4.61,8.21,0.39,13.86,1112.32,41.19,942.22,726.07,1342.82,6.22,1.07,-1.90,1.98,37.65
Gujarat Gas,539336,GUJGASLTD,Gas,427.55,29432.12,16486.95,1879.76,11.40,11.40,25.63,3.47,-6.42,9.43,0.02,14.17,0.86,212.78,1023.97,719.94,61.86,5.41,0.19,-0.11,0.09,38.03
H U D C O,540530,HUDCO,Finance,210.43,42125.98,10311.29,10357.66,100.45,100.45,15.55,2.34,0.95,2.44,5.97,15.67,628.32,37.09,1.84,0.00,0.00,6.95,0.57,-0.50,10.33,32.75
HCL Technologies,532281,HCLTECH,IT - Software,1452.10,394051.31,119347.00,25746.00,21.57,21.79,23.21,5.66,2.56,17.01,0.09,25.22,34070.00,1838.00,19523.00,3016.00,133.00,6.17,0.73,-0.59,0.27,27.84
HDB FINANC SER,544429,HDBFS,Finance,748.35,62080.63,16300.28,9555.38,58.62,58.62,28.53,,0.98,2.16,5.52,14.72,-3803.99,0.20,225.17,452.68,0.00,6.30,,,9.34,16.09
Hero Motocorp,500182,HEROMOTOCO,Automobiles,4311.60,86238.77,40923.42,5788.87,14.15,14.15,20.24,4.47,0.85,15.62,0.04,23.05,-678.08,1039.93,3381.29,5699.66,2013.34,6.77,-0.12,-0.38,0.12,30.97
Hindalco Inds.,500440,HINDALCO,Non - Ferrous Metals,672.45,151114.75,238496.00,31805.00,13.34,13.34,9.38,1.22,1.47,6.51,0.52,14.02,25911.00,1832.00,19834.00,40632.00,48801.00,12.69,0.25,-0.55,2.47,12.97
Hindustan Zinc,500188,HINDZINC,Non - Ferrous Metals,415.40,175519.75,33562.00,17161.00,51.13,50.92,17.23,13.21,6.60,30.27,0.82,72.52,468.00,918.00,112.00,2208.00,1882.00,7.76,0.67,-0.07,0.76,34.89
Home First Finan,543259,HOMEFIRST,Finance,1197.30,12364.35,1647.13,1313.80,79.76,80.29,29.92,4.28,1.10,3.51,3.79,16.46,1019.31,6.00,5.55,16.09,0.00,6.21,2.07,1.19,7.33,21.18
I O B,532388,IOB,Banks,36.81,70883.51,28981.53,17080.75,58.94,59.02,18.59,2.10,0.74,0.89,10.99,11.02,0.00,5993.02,0.00,0.00,0.00,5.44,-0.22,-0.14,16.09,42.40
IDBI Bank,500116,IDBI,Banks,90.19,96975.92,29273.85,19604.77,66.97,70.28,12.25,1.57,0.28,1.97,5.35,13.55,36651.88,5756.27,0.00,1896.87,0.00,6.23,-0.03,0.08,13.01,15.19
Indian Bank,532814,INDIANB,Banks,621.20,83673.40,63283.90,43060.82,68.04,68.06,7.29,1.17,0.18,1.35,10.89,17.09,36744.95,9788.23,0.00,1995.02,0.00,6.40,0.27,-0.20,14.52,5.68
Indian Renewable,544026,IREDA,Finance,145.69,40927.69,7179.45,6333.03,88.21,93.03,26.21,3.81,0.67,2.39,6.31,18.05,-1648.80,24.18,5.93,9.11,0.00,6.02,2.44,0.30,10.25,45.19
Indraprastha Gas,532514,IGL,Gas,201.54,28215.63,15318.00,1900.38,12.41,13.13,16.99,2.66,3.05,11.49,0.01,16.92,329.28,709.66,706.70,934.57,48.76,8.16,-2.19,2.15,0.04,29.36
Indus Towers,534816,INDUSTOWER,Telecom - Services,345.10,93002.27,30797.40,20607.20,66.91,69.20,9.55,2.86,0.55,16.69,0.65,33.36,3143.00,374.50,4767.50,2445.00,7.60,12.85,-0.25,1.09,1.47,25.09
Infosys,500209,INFY,IT - Software,1469.60,610511.91,165954.00,39741.00,23.95,24.07,22.39,6.43,3.47,18.62,0.09,28.83,52214.00,3803.00,32414.00,3616.00,0.00,6.55,1.07,-0.97,0.22,26.77
ITC,500875,ITC,Diversified FMCG,416.45,521546.63,79040.32,26249.84,33.21,34.30,26.04,7.44,2.86,22.16,0.00,27.32,13271.67,17635.96,4719.67,4807.30,15637.56,5.27,1.72,-1.89,0.01,15.95
J & K Bank,532209,J&KBANK,Banks,101.91,11222.15,12816.16,8701.52,67.89,68.04,5.22,0.79,0.08,1.29,10.62,15.77,0.00,1201.72,0.00,0.00,0.00,6.40,-0.82,0.37,15.24,13.08
Jindal Saw,500378,JINDALSAW,Industrial Products,205.40,13135.50,20828.89,3454.17,16.58,16.58,8.92,1.15,0.15,7.13,0.43,13.70,3120.33,120.30,3563.82,2522.22,4920.51,17.40,0.37,-1.87,1.62,46.49
