Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Godawari Power,532734,GPIL,Industrial Products,Iron & Steel Products,256.39,58.84,17172.88,5396.61,1123.69,20.82,22.23,23.10,3.28,-1.40,13.86,0.04,17.23,1513.51,101.13,98.78,304.89,862.45,6.36,-0.24,0.12,0.18,11.59
Gujarat Gas,539336,GUJGASLTD,Gas,LPG/CNG/PNG/LNG Supplier,389.70,42.39,26826.56,15906.19,1797.08,11.30,11.57,24.03,3.08,-6.32,9.49,0.02,14.25,179.17,265.07,954.56,647.91,60.84,5.87,-0.03,-0.16,0.10,24.75
H U D C O,540530,HUDCO,Finance,Financial Institution,226.75,57.26,45393.08,11761.56,11460.76,97.44,100.45,16.20,2.52,0.99,2.44,7.03,15.67,-15.68,59.98,1.91,0.00,0.00,6.69,0.66,-0.02,11.02,10.83
HCL Technologies,532281,HCLTECH,IT - Software,Computers - Software & Consulting,1630.80,47.14,442544.50,122427.00,25922.00,21.17,21.79,26.07,6.21,2.98,16.95,0.10,25.00,37284.00,1797.00,20169.00,6721.00,160.00,5.52,1.63,-1.92,0.29,18.95
HDB FINANC SER,544429,HDBFS,Finance,Non Banking Financial Company (NBFC),760.20,53.51,63099.50,17420.50,9794.90,56.23,58.62,29.32,3.26,1.01,2.16,4.68,14.72,-2222.70,0.00,252.10,220.10,0.00,6.30,5.77,-0.94,9.44,14.77
Hero Motocorp,500182,HEROMOTOCO,Automobiles,2/3 Wheelers,5566.00,33.07,111365.43,42175.84,6035.64,14.31,14.15,21.08,5.30,0.88,15.62,0.03,23.06,8723.11,1831.42,4252.77,7620.41,2629.42,6.30,-1.45,1.71,0.10,12.90
Hindustan Zinc,500188,HINDZINC,Non - Ferrous Metals,Zinc,618.55,74.72,261357.11,33845.00,17483.00,51.66,51.04,24.99,19.20,9.76,30.23,0.82,72.42,-1822.00,970.00,188.00,2244.00,2242.00,5.41,0.11,-0.04,0.76,5.76
Home First Finan,543259,HOMEFIRST,Finance,Housing Finance Company,1110.50,40.39,11540.67,1751.54,1394.24,79.60,80.29,25.49,2.86,0.94,3.51,2.40,16.46,1400.30,6.41,6.46,15.92,0.00,6.96,6.95,2.80,6.98,26.89
I O B,532388,IOB,Banks,Public Sector Bank,33.84,21.81,65164.30,29979.65,18570.68,61.94,59.02,15.29,1.87,0.61,0.89,11.07,11.02,24922.19,5725.00,0.00,0.00,0.00,5.64,1.88,0.27,15.87,37.95
IDBI Bank,500116,IDBI,Banks,Private Sector Bank,101.53,58.76,109169.14,28937.85,20399.04,70.49,70.28,11.76,1.60,0.26,1.97,4.81,13.55,30305.60,6543.01,0.00,0.00,0.00,6.47,-0.04,-0.07,12.16,5.10
IIFL Capital,542773,IIFLCAPS,Capital Markets,Stockbroking & Allied,330.50,56.01,10274.18,2309.18,865.20,37.47,44.24,17.57,3.65,0.56,8.57,0.62,31.58,2076.38,138.55,75.09,7.22,0.00,11.87,0.12,-0.31,1.85,14.61
Indiamart Inter.,542726,INDIAMART,Retailing,Internet & Catalogue Retail,2199.30,36.91,13214.97,1472.50,479.20,32.54,34.12,24.57,6.18,1.17,13.93,0.01,26.92,1578.10,256.30,4.40,36.40,0.00,5.34,-2.30,2.32,0.04,21.43
Indian Bank,532814,INDIANB,Banks,Public Sector Bank,784.45,41.87,105662.59,64543.17,44355.43,68.72,68.06,8.97,1.37,0.23,1.35,10.65,17.09,43625.03,9828.83,0.00,0.00,0.00,6.15,0.57,0.14,14.91,12.70
Indian Energy Ex,540750,IEX,Capital Markets,Exchange and Data Platform,133.77,34.56,11928.17,564.80,480.69,85.11,85.01,26.52,9.94,2.18,21.23,0.00,40.53,849.10,136.54,0.84,10.90,0.00,5.02,2.31,-5.33,0.01,37.90
Indian Renewable,544026,IREDA,Finance,Financial Institution,138.71,50.05,38966.85,7606.77,6753.23,88.78,93.03,22.62,3.02,0.58,2.39,5.41,18.05,-1147.39,23.92,5.22,4.91,0.00,6.24,-0.38,-0.12,10.38,40.81
