Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Birlasoft Ltd,532400,BSOFT,IT - Software,Computers - Software & Consulting,380.00,10584.63,5293.39,709.98,13.41,12.98,22.93,2.86,6.72,12.12,0.04,15.59,2554.35,95.78,1073.04,256.19,5.02,7.00,-0.50,-1.13,0.21,39.14
BLS Internat.,540073,BLS,Leisure Services,"Tour, Travel Related Services",312.95,12885.43,2652.82,749.16,28.24,29.58,21.40,6.05,0.33,24.22,0.19,34.31,1196.14,83.35,157.25,132.97,0.96,6.17,0.03,-1.72,0.54,40.08
Brigade Enterpr.,532929,BRIGADE,Realty,"Residential, Commercial Projects",899.20,21985.28,5588.84,1480.83,26.50,28.00,27.64,3.39,0.59,3.39,0.83,14.92,2662.87,235.85,625.85,1003.99,10443.57,5.65,-0.16,-0.66,3.80,32.92
Caplin Point Lab,524742,CAPLIPOINT,Pharmaceuticals & Biotechnology,Pharmaceuticals,1905.00,14480.23,2039.67,697.27,34.19,33.59,24.59,4.58,1.14,18.32,0.00,22.66,2043.22,110.74,694.45,209.15,329.43,5.35,-0.12,0.35,0.01,27.87
Capri Global,531595,CGCL,Finance,Non Banking Financial Company (NBFC),188.10,18098.12,3903.31,2540.55,65.09,61.76,25.25,2.71,0.77,2.66,2.52,11.76,1250.02,5.52,43.85,133.28,0.00,7.39,-0.24,0.11,6.88,18.82
Castrol India,500870,CASTROLIND,Petroleum Products,Lubricants,191.64,18955.54,5635.47,1355.54,24.05,23.83,19.41,10.42,2.92,26.09,0.04,41.83,827.05,76.97,562.13,770.16,612.05,7.33,0.03,-0.04,0.05,23.95
CEAT,500878,CEATLTD,Auto Components,Tyres & Rubber Products,3872.90,15665.92,14022.58,1620.09,11.55,11.16,29.88,3.43,0.38,4.66,0.68,11.77,-2208.06,-23.79,1724.60,3547.77,1921.70,5.44,0.98,-1.18,3.06,12.73
Central Bank,532885,CENTRALBK,Banks,Public Sector Bank,38.34,34703.07,34595.01,20430.76,59.06,57.65,7.67,0.90,0.14,0.85,11.87,11.43,43254.30,6433.96,0.00,0.00,0.00,5.69,-0.20,-0.09,17.08,38.06
CESC,500084,CESC,Power,Integrated Power Utilities,167.13,22154.26,17907.00,3347.00,18.69,16.76,15.28,1.74,-25.90,3.55,1.48,11.34,707.00,1152.00,3003.00,1839.00,612.00,8.99,0.27,0.16,5.74,17.99
Chambal Fert.,500085,CHAMBLFERT,Fertilizers & Agrochemicals,Fertilizers,446.70,17897.14,19477.16,2543.99,13.06,15.02,9.61,1.82,17.47,13.81,0.01,19.78,3215.87,347.55,2260.21,1791.83,2068.93,14.61,-2.56,1.23,0.04,39.83
