Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
Bemco Hydraulics,522650,,Industrial Manufacturing,3424.15,748.76,100.12,20.31,20.29,20.29,60.14,10.68,2.06,9.71,0.27,19.89,29.96,1.00,2.14
Bosch,500530,BOSCHLTD,Auto Components,37755.00,111353.24,18087.40,2309.70,12.77,12.77,55.34,8.06,3.02,10.70,0.01,15.55,4405.40,815.60,3.41
Chandan Healthca,,CHANDAN,Healthcare Services,222.65,544.43,230.12,41.34,17.96,17.96,24.56,4.44,0.14,13.84,0.39,27.09,79.45,2.05,2.35
Choice Intl.,531358,CHOICEIN,Finance,763.90,15251.68,943.61,314.39,33.32,31.26,88.63,14.84,2.06,7.36,0.45,18.87,856.03,10.06,4.51
Creative Graphic,,CGRAPHICS,Industrial Products,219.00,531.86,251.08,32.30,12.86,12.86,25.61,4.98,0.40,12.84,0.61,29.12,122.03,5.41,4.76
CSB Bank,542867,CSBBANK,Banks,425.20,7376.62,3597.14,1948.44,54.17,54.17,12.42,1.64,1.38,1.42,9.43,14.31,0.00,972.06,2.04
Cupid,530843,CUPID,Personal Products,147.97,3972.51,203.18,61.43,30.23,30.23,97.06,11.61,2.74,11.83,0.06,12.72,274.46,0.00,2.65
Datamatics Glob.,532528,DATAMATICS,IT - Services,774.35,4582.36,1723.36,229.26,13.30,13.30,25.58,3.36,3.41,10.21,0.14,13.82,638.16,78.01,4.15
Dharni Capital,543753,,Capital Markets,54.75,111.53,6.52,2.60,39.88,39.88,28.97,5.27,,17.92,0.10,20.02,3.50,2.61,4.95
eClerx Services,532927,ECLERX,Commercial Services & Supplies,3736.00,18315.87,3365.87,808.08,24.01,24.01,33.85,7.94,3.60,17.85,0.16,23.77,1617.73,86.53,3.64
EFC (I),512008,,Realty,348.30,3467.44,656.74,327.68,49.89,49.89,30.73,6.39,0.01,10.60,1.62,23.27,330.53,17.52,2.84
Exhicon Events,543895,,Other Consumer Services,520.90,675.22,143.51,35.12,24.47,24.47,25.97,6.02,0.32,24.62,0.00,26.63,65.77,2.99,0.21
Fabtech Techn.,544332,,Industrial Manufacturing,460.50,567.31,150.03,16.04,10.69,10.69,42.65,6.01,0.78,12.51,0.01,18.21,81.83,0.87,2.02
Federal Bank,500469,FEDERALBNK,Banks,212.40,52194.56,28106.08,19294.93,68.65,68.65,12.55,1.51,0.44,1.25,9.15,12.87,0.00,3924.17,3.45
Fiem Industries,532768,FIEMIND,Auto Components,2025.20,5330.26,2422.61,322.19,13.30,13.30,26.39,5.13,0.91,15.29,0.02,20.99,492.25,19.87,1.45
Foce India,,FOCE,Consumer Durables,1980.00,968.80,104.25,18.35,17.60,17.60,67.28,12.29,4.12,11.08,0.38,20.11,36.19,0.39,0.00
Force Motors,500033,FORCEMOT,Automobiles,17507.00,23067.68,8071.73,1092.72,13.54,13.54,42.18,7.60,0.42,11.46,0.01,20.68,871.21,451.65,0.88
Fortis Health.,532843,FORTIS,Healthcare Services,809.10,61083.66,7782.75,1587.95,20.40,20.40,72.72,6.85,2.37,6.67,0.28,10.13,27.83,-10.88,1.06
Fredun Pharma,539730,,Pharmaceuticals & Biotechnology,949.40,448.27,456.27,55.10,12.08,12.08,21.54,3.17,0.44,5.24,1.18,15.83,257.00,0.00,3.52
Frontier Springs,522195,,Auto Components,5163.05,2034.24,231.34,49.66,21.47,21.47,58.69,16.40,0.88,23.68,0.05,32.50,50.03,0.98,4.99
G G Automotive,531399,,Auto Components,263.85,263.59,117.01,19.37,16.55,15.13,28.93,5.34,0.18,8.78,0.53,19.70,22.28,0.40,3.69
G M D C,532181,GMDCLTD,Minerals & Mining,457.50,14548.50,2850.84,637.49,22.36,22.36,21.21,2.27,1.37,9.07,0.02,10.95,1967.55,354.71,2.24
Garuda Cons,544271,GARUDA,Construction,175.14,1628.88,315.07,91.21,28.95,29.53,23.55,4.91,0.61,15.70,0.00,22.09,294.43,3.25,4.22
Garware Tech.,509557,GARFIBRES,Textiles & Apparels,961.40,9543.42,1540.11,318.76,20.70,20.70,41.22,7.69,3.34,13.13,0.05,18.71,457.55,38.07,2.53
GE Vernova T&D,522275,GVT&D,Electrical Equipment,2451.40,62768.10,4292.30,818.70,19.07,19.07,103.18,35.40,1.27,14.76,0.02,40.34,896.21,62.59,1.94
GHV Infra,505504,,Construction,1322.45,1906.31,184.88,24.93,13.48,13.48,111.16,44.77,0.32,15.49,0.73,82.12,15.11,0.00,0.00
Gillette India,507815,GILLETTE,Personal Products,11052.00,36018.47,2880.17,774.48,26.89,24.08,67.50,35.20,6.52,22.23,0.00,42.49,500.63,32.56,3.94
