Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Flair Writing,544030,FLAIR,Household Products,341.40,3598.20,969.72,155.09,15.99,16.09,31.68,3.59,1.14,10.07,0.04,11.87,469.14,34.74,215.60,45.66,220.91,4.43,0.68,-0.01,0.25,4.37
Foce India,,FOCE,Consumer Durables,1980.00,968.80,104.25,18.35,17.60,17.60,67.28,12.29,4.12,11.08,0.38,20.11,6.11,0.39,57.66,17.89,3.14,1.85,0.00,0.00,1.63,0.00
Fortis Health.,532843,FORTIS,Healthcare Services,859.25,64869.78,7782.75,1587.95,20.40,20.40,77.22,7.28,2.51,6.67,0.28,10.13,-135.95,-10.88,784.49,807.61,115.29,1.91,0.33,-0.22,1.94,0.93
Fredun Pharma,539730,,Pharmaceuticals & Biotechnology,1006.85,475.40,497.31,61.60,12.39,12.08,20.28,3.36,0.42,5.24,1.18,15.83,100.21,0.00,177.12,144.76,239.89,8.91,0.00,0.00,2.93,1.29
Gallantt Ispat L,532726,GALLANTT,Industrial Products,756.90,18262.55,4260.82,726.69,17.06,16.18,40.34,6.42,1.28,11.99,0.13,15.14,966.32,21.28,90.18,91.15,436.26,3.41,0.00,0.01,0.60,3.93
Ganesh Infra.,,GANESHIN,Construction,207.55,886.68,583.52,60.09,10.30,9.73,19.87,4.94,,21.63,0.21,36.18,121.61,3.81,116.92,40.82,39.93,6.78,-0.72,0.22,0.61,3.42
GE Vernova T&D,522275,GVT&D,Electrical Equipment,2863.10,73309.68,4664.09,1024.09,21.96,19.07,95.83,41.34,1.18,14.76,0.02,40.34,882.74,67.09,1468.92,1025.89,703.52,1.43,-1.43,1.45,0.03,0.28
GHV Infra,505504,,Construction,1549.20,2233.17,184.88,24.93,13.48,13.48,130.21,52.45,0.38,15.49,0.73,82.12,15.11,0.00,133.56,128.97,13.24,1.10,0.00,0.00,1.24,0.00
Global Health,543654,MEDANTA,Healthcare Services,1337.50,35933.33,3692.32,877.07,23.75,23.75,69.31,10.61,1.81,11.46,0.21,16.48,914.30,29.20,291.86,194.81,67.14,2.15,0.27,-0.22,0.94,4.00
GSM Foils,,GSMFOILS,Industrial Products,220.65,282.69,164.81,18.87,11.45,11.36,23.38,9.05,,23.72,0.57,45.66,25.92,0.08,33.77,7.36,18.86,6.20,0.00,0.00,0.96,0.00
Harshdeep Horti.,544105,,Agricultural Food & other Products,113.00,181.86,56.27,14.81,26.32,26.32,18.75,3.84,,19.46,0.00,22.95,33.55,0.15,13.16,3.77,23.56,6.35,0.00,0.00,0.00,2.46
HDFC AMC,541729,HDFCAMC,Capital Markets,5615.00,120126.56,3690.55,2972.78,80.55,82.62,46.11,14.76,2.21,30.18,0.00,32.35,-141.31,619.81,133.18,39.56,0.00,2.94,-1.35,1.46,0.00,1.40
HDFC Bank,500180,HDFCBANK,Banks,2012.20,1543987.26,342193.10,136606.41,39.92,44.41,21.88,2.95,0.95,1.74,6.41,14.45,270754.86,144781.31,0.00,13653.91,0.00,5.91,0.09,0.54,11.89,1.25
Hitachi Energy,543187,POWERINDIA,Electrical Equipment,20550.00,91596.21,6536.59,669.52,10.24,9.48,181.32,21.74,6.30,5.77,0.02,13.79,3262.35,141.31,2109.58,2041.88,925.71,0.82,-2.07,2.23,0.12,3.90
Hyundai Motor I,544274,HYUNDAI,Automobiles,2181.00,177215.21,66704.55,8586.57,12.87,12.93,32.94,11.24,1.36,19.96,0.05,42.16,4256.14,849.54,2241.40,6972.62,3404.36,4.33,0.75,-0.09,0.12,3.72
ICICI Bank,532174,ICICIBANK,Banks,1471.60,1050357.89,190829.78,55519.60,29.09,28.78,19.86,3.36,0.74,2.18,5.97,17.97,0.00,111063.13,0.00,0.00,0.00,5.97,-0.86,0.94,11.17,1.89
Iconik Sports,511260,,Finance,62.80,212.53,12.71,3.48,27.38,27.38,81.74,3.34,0.46,9.49,0.00,15.03,6.37,0.00,11.40,4.75,0.00,1.64,-0.05,5.35,0.00,0.00
Indosolar,533257,WAAREEINDO,Electrical Equipment,296.40,1233.13,518.03,159.03,30.70,29.34,6.98,30.52,0.09,28.03,1.24,420.74,-27.02,2.60,4.66,82.93,74.43,9.95,0.05,0.01,0.40,0.00
Interglobe Aviat,539448,INDIGO,Transport Services,5788.50,223738.18,81728.60,18064.70,22.10,22.34,33.46,24.03,0.79,5.89,7.21,103.80,-8296.30,3673.60,739.80,4190.90,820.30,4.56,3.36,2.19,5.40,3.83
Interiors & More,,INM,Consumer Durables,525.00,367.26,58.89,17.55,29.80,29.80,30.68,5.47,,13.81,0.45,19.56,52.66,0.24,16.00,3.28,49.39,4.22,0.00,-0.69,1.82,4.55
J K Cements,532644,JKCEMENT,Cement & Cement Products,6681.50,51626.78,12424.11,2228.54,17.94,17.12,56.30,8.48,12.94,5.11,0.99,13.87,627.95,287.66,786.55,1098.07,1175.13,3.22,-1.45,1.42,3.32,1.42
Karnika Industri,,KARNIKA,Textiles & Apparels,710.35,880.80,172.55,26.03,15.09,15.09,48.85,12.40,0.84,13.14,0.85,29.05,55.93,3.73,74.57,20.96,50.01,3.05,0.00,0.01,2.10,3.88
Kilburn Engg.,522101,,Industrial Manufacturing,519.55,2547.76,424.46,101.00,23.79,23.79,40.84,5.22,,10.26,0.19,17.17,223.42,3.16,105.48,63.50,47.98,3.71,1.69,0.06,0.91,4.93
