Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
Bharat Wire,539799.0,BHARATWIRE,INE316L01019,Industrial Products,Iron & Steel Products,250.7,69.05,1719.33,620.89,138.21,22.26,21.38,22.46,2.31,0.3,8.08,0.13,22.91,351.67,0.7,115.12,11.39,111.24,6.71,-0.55,2.08,0.88,0.0,2.26
BSE,,BSE,INE118H01025,Capital Markets,Exchange and Data Platform,3907.4,81.6,159148.06,4833.95,3078.53,63.69,63.69,64.03,23.83,0.52,20.81,0.0,44.79,2846.65,391.52,553.16,130.87,0.0,2.11,1.35,1.97,0.0,0.15,2.01
Cams Services,543232.0,CAMS,INE596I01020,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",834.5,75.13,20694.26,1516.25,683.14,45.05,45.05,43.45,15.61,2.15,27.71,0.05,39.03,904.28,51.17,56.65,90.51,0.0,3.12,0.06,-0.21,0.1,1.46,4.63
Carborundum Uni.,513375.0,CARBORUNIV,INE120A01034,Industrial Products,Abrasives & Bearings,1027.7,70.99,19576.91,5025.08,581.05,11.56,14.64,81.11,5.24,32.84,8.49,0.08,10.85,1723.77,89.14,864.96,442.46,1151.1,2.28,-0.56,-0.25,0.71,0.4,0.95
Ceigall India,544223.0,CEIGALL,INE0AG901020,Construction,Civil Construction,376.8,81.19,6564.04,4022.4,585.43,14.55,14.55,20.98,3.14,0.88,6.32,0.61,15.71,1064.19,54.26,635.7,1471.3,99.2,7.91,0.29,0.24,2.27,0.0,1.98
Cemindia Project,509496.0,CEMPRO,INE686A01026,Construction,Civil Construction,953.95,81.14,16387.78,10060.58,1021.56,10.15,10.15,27.5,6.9,0.4,8.8,0.38,28.24,1123.34,176.96,1294.56,2189.65,750.92,6.21,0.44,-0.88,0.88,0.21,2.94
Central Mine Pla,544739.0,CMPDI,INE05HV01027,Construction,Civil Construction,219.45,73.38,15668.73,2316.53,777.56,33.57,33.57,25.55,6.87,0.93,20.64,0.0,28.35,2058.67,80.92,1074.74,276.45,13.17,6.13,,,0.0,0.0,2.4
CG Power & Ind,500093.0,CGPOWER,INE067A01029,Electrical Equipment,Heavy Electrical Equipment,873.65,71.26,137594.38,12417.95,1625.29,13.09,13.09,111.87,17.24,10.87,12.17,0.01,20.82,3804.26,210.65,2923.99,2468.44,1583.91,1.25,0.49,0.01,0.07,0.15,0.09
Connplex Cinemas,,CONNPLEX,INE0EAS01014,Entertainment,"Film Production, Distribution & Exhibition",293.65,58.36,560.9,118.98,31.3,26.31,27.49,25.02,4.61,0.14,37.97,0.01,123.94,39.65,0.89,22.56,8.9,13.73,5.93,-1.12,-1.75,0.06,0.0,0.83
Corona Remedies,544644.0,CORONA,INE02ZQ01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,1712.15,65.33,10471.52,1196.42,240.68,20.12,20.12,65.73,15.87,0.12,17.0,0.1,27.55,103.48,5.23,160.08,140.75,107.3,1.96,0.25,0.41,0.3,0.0,4.54
Cospower Engine.,543172.0,,INE0CQB01010,Industrial Manufacturing,Industrial Products,1150.0,66.31,211.2,53.2,9.59,18.03,21.7,54.57,9.42,2.1,3.4,1.08,11.82,15.7,-0.18,18.3,8.87,17.5,3.61,0.0,0.0,2.68,0.0,0.0
Cummins India,500480.0,CUMMINSIND,INE298A01020,Industrial Products,"Compressors, Pumps & Diesel Engines",5401.0,69.08,149715.67,11602.39,2477.99,21.36,20.02,64.34,19.05,1.85,20.85,0.0,28.15,5023.17,655.77,2565.36,1524.44,1162.01,2.06,-1.17,1.35,0.01,0.96,1.31
Cupid,530843.0,CUPID,INE509F01029,Personal Products,Personal Care,133.45,80.13,17944.47,320.46,118.9,37.1,23.22,214.73,47.0,5.96,11.99,0.07,12.89,301.97,0.0,89.65,15.97,42.64,0.65,-0.13,-0.47,0.24,0.0,0.34
Data Pattern,543428.0,DATAPATTNS,INE0IX101010,Aerospace & Defense,Aerospace & Defense,4103.05,72.68,22970.48,976.13,330.64,33.87,38.82,92.03,14.93,2.9,12.18,0.0,15.18,1180.86,29.91,667.81,66.66,268.15,1.44,1.41,0.93,0.02,0.19,4.65
Dharni Capital,543753.0,,INE0M9Q01011,Capital Markets,Financial Products Distributor,65.0,70.74,132.41,9.55,3.22,33.72,33.72,28.36,5.12,0.49,17.13,0.15,19.88,-3.14,2.97,0.48,0.01,0.0,4.43,0.0,0.0,0.64,0.0,1.22
Dhruva Cap.Serv.,531237.0,,INE972E01014,Finance,Non Banking Financial Company (NBFC),357.0,87.19,256.7,3.11,1.93,62.06,62.06,99.88,8.32,0.4,7.72,0.41,12.27,-2.17,1.31,0.0,0.03,0.0,1.44,0.0,0.0,3.27,0.0,0.0
Digilogic Systems,544684.0,,INE1OOT01028,Aerospace & Defense,Aerospace & Defense,101.9,68.34,295.01,72.06,13.5,18.73,18.73,38.02,,0.42,14.39,0.63,33.23,21.04,0.13,19.64,5.59,16.31,3.75,,,1.85,0.0,4.77
