Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Travel Food,544443,TRAVELFOOD,Leisure Services,Restaurants,1364.10,17962.40,1687.74,554.12,32.83,32.83,51.16,15.16,0.16,21.49,0.24,39.10,450.40,122.22,130.28,352.51,10.53,3.02,,,0.52,4.94
TVS Motor Co.,532343,TVSMOTOR,Automobiles,2/3 Wheelers,3538.60,168114.33,48838.15,7449.63,15.25,14.91,64.52,20.71,1.59,5.15,2.08,28.39,2152.36,37.92,2176.76,9122.71,2544.80,3.49,-0.46,0.48,2.68,4.88
Ujjivan Small,542904,UJJIVANSFB,Banks,Other Bank,55.93,10838.07,6465.58,2517.15,38.93,46.40,25.99,1.74,0.47,1.65,6.77,12.42,2594.80,947.20,0.00,0.00,0.00,6.84,3.31,-2.50,12.17,0.44
Unihealth Hosp,,UNIHEALTH,Healthcare Services,Hospital,372.00,576.60,122.47,53.13,43.38,33.28,23.91,4.60,0.41,12.49,0.14,16.03,112.05,4.05,112.25,7.92,3.81,8.48,0.52,0.00,0.35,0.00
Union Bank (I),532477,UNIONBANK,Banks,Public Sector Bank,155.40,118626.23,109143.51,73474.88,67.32,67.96,6.42,0.94,0.13,1.24,10.38,17.05,112599.00,21257.19,0.00,0.00,0.00,6.94,-0.23,0.16,13.79,2.05
Uno Minda,532539,UNOMINDA,Auto Components,Auto Components & Equipments,1320.10,76139.48,18015.43,2078.58,11.54,11.17,69.63,12.22,1.77,9.36,0.46,17.50,1397.21,246.83,2658.31,2282.12,1800.08,2.12,-0.05,0.39,1.71,4.48
V2 Retail,532867,V2RETAIL,Retailing,Speciality Retail,2492.50,9088.59,2430.31,341.99,14.07,13.81,91.32,22.28,0.91,5.51,3.39,23.28,81.93,5.05,6.52,530.49,827.78,2.15,3.01,1.87,5.88,3.09
Vdeal System,,VDEAL,Electrical Equipment,Other Electrical Equipment,250.95,122.73,41.11,6.56,15.96,20.61,30.53,4.56,0.19,10.47,0.38,24.99,24.93,0.15,15.46,9.71,25.03,4.86,1.54,0.00,1.60,2.35
Vedanta,500295,VEDL,Diversified Metals,Diversified Metals,516.30,201893.34,157262.00,43884.00,27.91,27.68,15.82,5.03,-1.54,9.77,2.12,38.48,-21699.00,956.00,3714.00,11857.00,17237.00,12.89,-0.22,0.48,2.39,3.60
Vision Infra,,VIESL,Commercial Services & Supplies,Diversified Commercial Services,294.45,725.60,531.27,137.93,25.96,26.46,17.71,3.92,,7.18,1.61,33.12,49.13,11.57,161.83,40.45,54.12,8.44,-1.01,-0.13,3.50,2.27
Workmates Core2,544610,,IT - Software,Computers - Software & Consulting,404.90,523.08,107.65,18.32,17.02,17.02,37.55,,0.30,32.12,0.38,87.47,20.11,0.74,24.65,23.61,0.00,3.64,,,0.47,0.02
Zelio E-Mobility,544563,,Automobiles,2/3 Wheelers,459.40,971.63,171.97,21.06,12.25,12.25,46.76,,0.35,33.76,0.70,85.75,28.24,1.61,1.88,9.87,39.49,2.13,,,1.27,0.00
