Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Federal Bank,500469,FEDERALBNK,Banks,Private Sector Bank,269.15,76.90,66260.90,28739.84,19099.94,66.46,69.68,16.79,1.83,0.59,1.25,8.71,12.86,26370.05,4248.26,0.00,0.00,0.00,6.37,1.54,-1.32,13.53,0.72
Fiem Industries,532768,FIEMIND,Auto Components,Auto Components & Equipments,2398.50,66.80,6312.77,2606.80,351.42,13.48,13.30,28.16,5.84,0.97,15.29,0.06,20.99,546.09,24.32,330.82,284.54,248.38,4.95,1.54,2.51,0.20,1.90
Game Changers,544594,,Textiles & Apparels,Other Textile Products,157.80,76.12,282.35,117.69,23.40,19.88,16.18,18.58,,0.06,26.05,0.47,80.63,25.95,0.09,34.32,7.91,14.80,7.47,,,0.62,1.80
Global Education,,GLOBAL,Other Consumer Services,Education,93.52,65.94,476.03,69.91,27.16,38.85,49.67,24.02,4.24,0.74,24.87,0.00,26.67,39.00,4.09,32.53,8.29,3.82,5.77,0.00,0.03,0.00,4.96
Granules India,532482,GRANULES,Pharmaceuticals & Biotechnology,Pharmaceuticals,600.75,68.61,14578.32,4842.21,1007.59,20.81,21.15,28.54,3.66,5.78,8.21,0.45,13.86,669.59,27.64,760.54,755.08,1488.29,4.88,-5.61,0.85,2.35,3.28
Guj Pipavav Port,533248,GPPL,Transport Infrastructure,Port & Port services,193.59,68.77,9358.91,1064.46,621.46,58.38,58.50,21.77,4.30,0.82,14.85,0.02,18.96,811.43,125.38,79.87,63.56,9.46,6.91,-0.52,0.34,0.09,3.08
Happy Forgings,544057,HAPPYFORGE,Industrial Products,Castings & Forgings,1085.30,61.86,10237.41,1437.48,420.69,29.27,28.88,37.72,5.22,1.61,13.05,0.10,15.46,647.93,33.36,379.72,42.32,225.08,3.61,0.04,-0.14,0.52,0.89
HDFC Bank,500180,HDFCBANK,Banks,Private Sector Bank,987.70,46.15,1519534.69,346185.22,147511.76,42.61,44.41,21.00,2.81,0.91,1.74,6.30,14.45,185784.94,137893.08,0.00,0.00,0.00,5.97,0.30,-0.46,11.90,3.21
Hindalco Inds.,500440,HINDALCO,Non - Ferrous Metals,Aluminium,864.55,66.81,194283.97,253570.00,33291.00,13.13,13.34,10.84,1.44,1.69,6.51,0.56,14.02,37401.00,2311.00,20649.00,46404.00,60379.00,10.72,-0.82,0.53,2.72,0.93
Hindustan Copper,513599,HINDCOPPER,Non - Ferrous Metals,Copper,403.40,71.15,39009.75,2293.58,868.42,37.86,35.66,67.99,13.06,9.07,12.88,0.05,18.72,260.04,83.93,166.67,242.53,369.35,2.00,-2.24,1.34,0.18,1.35
Hindustan Zinc,500188,HINDZINC,Non - Ferrous Metals,Zinc,606.50,81.56,256265.60,33845.00,17483.00,51.66,51.04,24.50,18.82,9.57,30.23,0.82,72.42,-1822.00,970.00,188.00,2244.00,2242.00,5.52,0.11,-0.04,0.76,0.66
HRS Aluglaze,544656,,,,145.85,,281.23,42.11,10.70,25.41,25.41,54.61,,,8.37,1.92,34.25,-2.87,0.04,13.19,11.82,15.54,2.94,,,4.12,0.00
ICICI AMC,544658,ICICIAMC,,,2610.00,,129001.47,4977.33,3634.65,73.02,73.02,44.07,,1.99,67.62,0.00,82.84,3406.43,2.34,172.08,200.21,0.00,2.75,,,0.00,2.00
Indian Metals,533047,IMFA,Ferrous Metals,Ferro & Silica Manganese,1415.90,58.21,7639.36,2570.56,462.50,17.99,20.69,23.12,3.04,-2.61,12.46,0.17,17.01,1162.71,72.04,130.43,220.00,636.58,5.93,0.02,0.29,0.91,4.33
Indus Towers,534816,INDUSTOWER,Telecom - Services,Telecom - Infrastructure,411.45,57.74,108547.21,31520.30,20315.50,64.45,68.55,11.60,3.01,0.72,16.26,0.58,32.50,4427.10,343.50,4851.50,2546.20,20.20,10.86,0.08,-1.30,1.51,4.31
