Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Forbes Precision,544186,,Industrial Manufacturing,Industrial Products,145.60,27.22,751.22,239.03,52.92,22.14,22.01,26.20,4.93,,12.65,0.13,18.84,48.07,3.78,29.79,30.51,37.76,5.51,-0.02,0.01,0.46,51.45
Frog Innovations,,FROG,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,162.00,43.57,251.98,219.39,35.57,16.21,16.21,14.63,1.58,0.85,12.08,0.08,16.07,69.32,2.84,44.16,21.01,35.77,13.15,0.12,-0.09,0.37,64.63
Galaxy Bearings,526073,,Industrial Products,Abrasives & Bearings,497.35,16.19,158.16,77.52,10.95,14.13,18.52,25.89,1.48,26.69,9.88,0.25,13.63,66.43,1.11,39.33,7.02,23.50,5.54,0.00,0.00,2.59,55.79
Gem Aromatics,544491,GEMAROMA,Chemicals & Petrochemicals,Specialty Chemicals,162.28,48.95,847.70,503.95,88.45,17.55,17.55,20.68,1.86,1.06,11.81,0.32,20.73,221.06,1.69,92.98,47.72,226.44,8.65,,,1.74,53.58
Genesys Intl.,506109,GENESYS,IT - Services,IT Enabled Services,432.25,47.76,1805.52,331.07,151.83,45.86,46.00,30.74,2.64,-9.29,7.94,0.21,10.76,390.92,7.06,209.38,33.94,0.00,5.24,-0.04,-0.15,1.51,59.03
Gensol Engineer.,542851,GENSOL,Electrical Equipment,Other Electrical Equipment,27.41,40.10,105.38,1451.84,329.58,22.70,23.86,1.03,0.18,0.01,3.16,2.33,22.38,224.48,3.86,308.51,167.81,3.88,24.10,0.14,4.25,4.66,96.56
GLEN Industries,544444,,Industrial Products,Packaging,80.05,53.50,192.61,182.08,41.87,23.00,24.24,10.68,1.40,0.15,9.62,0.84,36.35,63.70,0.80,31.97,3.25,64.84,13.45,,,3.33,51.44
Go Fashion (I),543401,GOCOLORS,Retailing,Speciality Retail,458.85,27.27,2478.20,866.54,267.57,30.88,31.95,28.08,3.34,0.73,7.65,0.72,14.32,441.59,24.99,126.23,38.20,241.67,5.82,0.43,-1.08,3.25,55.37
GRP,509152,GRPLTD,Industrial Products,Rubber,1699.20,37.20,906.24,548.71,66.04,12.04,12.51,32.91,5.00,0.47,8.28,1.12,17.44,48.41,2.36,95.87,20.08,49.73,4.63,-0.38,-0.01,3.96,51.93
Hi-Green Carbon,,HIGREEN,Other Utilities,Waste Management,132.25,30.85,330.49,129.70,22.71,17.51,20.00,31.33,3.62,,8.14,0.62,12.38,21.39,3.01,9.04,17.01,29.27,4.02,-0.01,-0.29,3.64,61.21
Indian Emuls,,IEML,Chemicals & Petrochemicals,Specialty Chemicals,87.40,33.26,160.23,126.71,24.47,19.31,19.38,9.66,1.73,0.02,14.67,0.35,24.08,64.26,0.52,58.94,10.77,28.01,12.06,1.81,-0.06,1.43,58.27
Indo Tech.Trans.,532717,INDOTECH,Electrical Equipment,Heavy Electrical Equipment,1579.60,43.17,1677.54,730.19,99.87,13.68,13.83,19.92,5.17,0.27,15.50,0.04,25.66,253.35,18.51,153.74,82.34,169.01,7.14,0.19,0.01,0.10,58.35
Indo US Bio-Tech,541304,INDOUS,Agricultural Food & other Products,Other Agricultural Products,121.75,43.75,244.13,118.56,19.75,16.66,18.24,14.46,2.82,0.32,17.85,0.32,23.03,77.75,0.17,33.39,1.10,60.87,6.93,0.00,0.00,1.47,67.53
