Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
H.G. Infra Engg.,541019,HGINFRA,INE926X01010,Construction,Civil Construction,504.60,20.82,3287.92,5168.75,1013.24,19.60,20.93,8.61,1.07,0.95,7.01,1.84,18.28,1301.98,39.01,444.24,1177.16,419.98,10.07,-0.47,-0.40,6.45,60.42
Happiest Minds,543227,HAPPSTMNDS,INE419U01012,IT - Software,Computers - Software & Consulting,341.50,24.76,5203.93,2255.60,383.65,17.01,17.20,25.13,3.19,20.10,6.93,0.78,12.61,793.36,59.12,324.40,93.28,0.00,7.00,-0.58,0.50,3.29,52.19
Hi-Green Carbon,,HIGREEN,INE0PIC01017,Other Utilities,Waste Management,119.45,30.63,298.51,129.70,22.71,17.51,20.00,28.29,3.27,,8.14,0.62,12.38,21.39,3.01,9.04,17.01,29.27,4.38,-2.18,-0.83,3.64,55.04
HLE Glascoat,522215,HLEGLAS,INE461D01028,Industrial Manufacturing,Industrial Products,312.65,29.67,2160.75,1295.01,148.94,11.50,13.28,40.56,4.28,-4.16,4.96,0.75,10.67,108.97,3.66,265.52,137.43,392.19,5.01,0.44,-1.56,3.07,52.77
HPL Electric,540136,HPL,INE495S01016,Industrial Manufacturing,Industrial Products,310.40,33.82,2003.62,1783.94,277.88,15.58,15.02,19.80,2.09,0.15,4.77,0.78,10.82,400.97,-0.18,688.49,474.78,733.73,8.71,-0.09,-0.06,3.19,51.49
Indef Manufactur,544364,BAJAJINDEF,INE0O9T01021,Industrial Manufacturing,Industrial Products,236.57,22.07,751.26,192.64,24.77,12.86,17.12,27.60,2.94,,,0.02,13.51,15.41,16.48,15.86,27.40,30.16,4.81,0.00,0.00,0.11,59.27
Indian Emuls,,IEML,INE0RRU01016,Chemicals & Petrochemicals,Specialty Chemicals,69.05,33.62,126.59,126.71,24.47,19.31,19.38,7.63,1.37,0.01,14.67,0.35,24.08,64.26,0.52,58.94,10.77,28.01,14.69,1.81,-0.06,1.43,60.27
Indosolar,533257,WAAREEINDO,INE866K01023,Electrical Equipment,Heavy Electrical Equipment,324.50,25.80,1351.06,788.76,255.46,32.39,29.34,5.52,6.63,0.07,27.99,0.02,420.20,71.36,2.08,48.84,72.12,91.67,16.46,-0.01,0.00,0.01,55.24
Inox Wind,539083,INOXWIND,INE066P01011,Electrical Equipment,Heavy Electrical Equipment,85.85,19.24,14833.59,4427.70,947.32,21.40,21.29,29.56,2.22,0.67,5.77,0.17,11.69,3486.52,146.40,3271.08,924.71,1455.26,5.72,0.50,0.79,1.28,56.67
Insolation Ener,543620,,INE0LGX01024,Power,Power Generation,95.25,31.31,2099.26,1498.48,182.38,12.17,12.09,11.85,3.05,0.07,22.76,0.37,34.87,206.93,20.69,237.65,139.18,181.77,8.63,0.13,-0.15,1.36,67.71
Jaro Institute,544534,JARO,INE00YJ01010,Other Consumer Services,E-Learning,423.35,33.46,938.31,275.21,78.85,28.65,32.08,18.85,2.58,0.19,21.60,0.13,35.76,352.83,2.64,20.15,17.35,0.00,12.96,-3.40,-0.95,0.67,52.43
K.P. Energy,539686,KPEL,INE127T01021,Power,Power Generation,259.05,24.93,1748.80,1266.41,258.95,20.45,18.78,11.78,4.59,0.13,12.63,0.79,45.44,149.56,13.85,208.83,247.35,328.08,12.49,0.01,0.00,1.21,55.63
Kamat Hotels,526668,KAMATHOTEL,INE967C01018,Leisure Services,Hotels & Resorts,184.17,34.60,540.31,367.90,89.77,24.40,29.40,17.30,1.93,0.30,7.48,0.92,18.61,4.24,6.61,10.68,17.79,5.23,9.44,-0.02,-0.87,3.61,50.08
Karnika Industri,,KARNIKA,INE0MGA01012,Textiles & Apparels,Garments & Apparels,110.55,38.86,685.38,178.42,30.42,17.05,15.29,27.39,8.09,0.50,12.19,0.78,26.96,61.14,3.37,89.21,29.93,43.15,4.31,0.00,0.00,2.03,50.86
Kaveri Seed Co.,532899,KSCL,INE455I01029,Agricultural Food & other Products,Other Agricultural Products,714.60,24.67,3675.10,1377.89,336.53,24.42,24.20,12.22,2.05,1.08,11.11,0.00,19.04,1216.62,36.18,356.90,351.71,924.82,8.56,-0.09,-0.41,0.00,55.39
Kay Cee,,KCEIL,INE0RCG01017,Construction,Civil Construction,117.55,37.53,143.69,198.15,34.55,17.44,17.78,6.76,1.54,0.09,12.27,0.59,32.11,89.54,0.69,38.27,24.25,37.76,19.27,-9.48,-0.81,1.56,69.71
Kaycee Inds.,504084,,INE813G01023,Electrical Equipment,Other Electrical Equipment,785.55,42.73,249.29,58.64,8.97,15.30,16.29,41.55,7.97,0.89,15.59,0.11,22.25,18.52,0.74,18.64,7.30,4.59,3.41,0.00,0.00,0.40,54.63
Kaynes Tech,543664,KAYNES,INE918Z01012,Industrial Manufacturing,Industrial Products,3700.40,43.26,24821.45,3368.20,548.23,16.28,15.29,63.58,5.30,0.71,7.24,0.19,10.74,1845.02,132.90,1122.32,837.10,982.33,2.49,-6.93,-1.84,1.44,51.97
Kimia Bioscien.,530313,,INE285U01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,30.35,44.11,143.59,125.92,19.79,15.72,17.03,15.87,12.40,0.24,9.10,3.11,186.78,-6.20,1.06,28.18,47.87,34.65,9.62,0.00,0.00,2.10,65.05
KNR Construct.,532942,KNRCON,INE634I01029,Construction,Civil Construction,125.66,31.30,3530.14,2977.63,763.71,25.65,33.86,6.49,0.74,0.15,17.05,0.49,27.24,2574.81,-54.05,874.47,261.32,158.57,13.57,-1.49,-0.14,3.03,50.56
Kore Digital,,KDL,INE0O4R01018,Telecom - Services,Telecom - Infrastructure,121.25,24.12,145.79,493.81,72.86,14.75,14.49,3.01,1.12,,16.13,0.05,35.48,72.22,0.11,224.09,151.17,13.59,43.60,0.00,0.00,0.10,68.60
Lagnam Spintex,,LAGNAM,INE548Z01017,Textiles & Apparels,Other Textile Products,68.58,38.65,121.18,588.19,68.43,11.63,10.81,8.31,1.00,-0.35,2.34,3.21,11.26,13.52,0.34,67.43,14.55,118.20,10.25,0.00,0.00,7.44,50.34
Lakshya Powertec,,LAKSHYA,INE0VZS01015,Construction,Civil Construction,102.00,35.95,102.86,182.10,23.29,12.79,14.15,6.74,1.02,0.05,13.54,0.57,25.41,92.16,1.16,60.13,22.83,55.87,15.20,-1.44,-0.19,2.43,50.23
Laxmi Dental,544339,LAXMIDENTL,INE0WO601020,Healthcare Equipment & Supplies,Medical Equipment & Supplies,184.29,38.31,1015.91,264.58,39.42,14.90,17.84,37.86,4.42,0.54,12.31,0.04,21.88,91.80,2.45,42.24,8.91,19.09,3.14,-1.03,0.06,0.28,63.86
Laxmi India Fin.,544465,LAXMIINDIA,INE06WU01026,Finance,Non Banking Financial Company (NBFC),88.65,35.73,463.35,298.45,190.28,63.76,65.76,10.58,1.06,0.30,3.00,2.57,15.66,246.20,2.59,0.00,1.13,0.00,14.29,-0.41,-1.30,5.85,51.00
Likhitha Infra.,543240,LIKHITHA,INE060901027,Construction,Civil Construction,148.74,37.12,587.67,471.55,73.85,15.66,18.49,11.19,1.47,0.74,17.94,0.00,20.29,367.03,4.34,82.73,32.74,173.00,13.96,0.00,0.08,0.01,54.16
Loyal Equipments,539227,,INE876S01017,Industrial Manufacturing,Industrial Products,179.25,54.74,193.41,77.43,13.33,17.22,21.77,24.58,3.64,0.41,16.48,0.11,26.50,24.58,0.69,4.67,8.24,24.88,5.86,0.35,0.00,0.52,50.74
Madhav Infra,539894,,INE631R01026,Construction,Civil Construction,7.66,21.20,206.49,556.37,60.47,10.87,10.95,7.37,0.89,0.12,4.21,0.81,12.55,188.75,15.45,66.22,89.01,123.56,20.01,0.00,0.00,3.06,52.72
Magellanic Cloud,538891,MCLOUD,INE613C01026,IT - Software,Computers - Software & Consulting,22.85,34.09,1347.72,648.68,208.52,32.15,34.26,12.42,2.33,0.24,12.17,0.47,22.23,180.08,4.05,293.79,39.80,18.55,10.74,0.00,-0.17,1.61,78.32
Mangal Electrica,544492,MEIL,INE0PKD01011,Electrical Equipment,Other Electrical Equipment,238.49,29.16,659.15,553.29,73.30,13.25,14.91,14.86,1.17,0.15,15.43,0.12,34.13,418.55,4.72,151.74,30.66,177.96,13.09,-0.49,-0.36,0.93,58.45
Manoj Ceramic,544073,,INE0A6N01026,Consumer Durables,Ceramics,75.00,30.25,102.80,179.73,24.48,13.62,13.76,8.41,0.73,0.07,7.31,0.45,16.23,139.71,0.23,99.55,16.61,58.93,15.62,0.00,2.82,2.39,67.17
Master Trust,511768,MASTERTR,INE677D01037,Capital Markets,Stockbroking & Allied,84.04,38.27,1028.85,517.22,225.00,43.50,41.62,8.98,1.37,0.27,6.87,0.22,22.97,777.32,0.00,193.54,984.15,20.26,-62.97,0.00,0.02,0.74,51.81
Meta Infotech,544441,,INE162901016,IT - Services,IT Enabled Services,94.39,51.41,178.22,218.82,25.11,11.48,11.48,13.23,2.45,0.18,23.82,0.44,42.60,44.02,-1.11,198.77,142.72,23.43,11.82,,,1.35,62.24
Monarch Surve.,544453,,INE0V0L01028,Commercial Services & Supplies,Consulting Services,194.50,44.41,275.34,176.64,57.92,32.79,33.16,6.97,1.32,0.07,27.84,0.06,38.11,48.37,2.43,52.99,8.66,0.00,19.86,,,0.24,55.29
MPS,532440,MPSLTD,INE943D01017,Other Consumer Services,E-Learning,1434.00,32.34,2455.75,745.32,224.35,30.10,29.01,14.95,5.01,0.83,20.33,0.02,30.46,143.77,29.31,96.51,31.25,0.00,9.11,0.69,0.16,0.05,53.43
Munish Forge,,MUNISH,INE1K8Y01018,Industrial Products,Castings & Forgings,70.00,36.42,168.49,175.45,24.36,13.88,13.88,11.67,,0.10,12.75,0.86,35.55,31.88,3.61,24.83,13.13,66.87,10.89,,,2.59,51.05
Network People,544396,NPST,INE0FFK01017,IT - Services,IT Enabled Services,1045.20,34.72,2180.83,159.27,46.42,29.15,34.73,63.07,5.23,0.30,40.09,0.02,56.01,368.93,9.78,58.80,19.63,0.07,2.62,-0.01,0.04,0.14,58.72
Newgen Software,540900,NEWGEN,INE619B01017,IT - Software,Computers - Software & Consulting,477.05,36.17,6785.10,1551.62,390.86,25.19,25.30,20.83,4.26,0.88,16.52,0.03,22.50,1287.10,41.68,514.75,64.27,0.00,6.70,0.10,-0.28,0.12,65.41
Nicco Parks,526721,,INE653C01022,Leisure Services,Amusement Parks/ Other Recreation,66.60,31.66,311.69,68.58,14.54,21.20,28.94,42.64,3.01,0.66,16.87,0.00,21.75,52.80,-5.09,0.82,3.55,1.19,7.56,0.00,0.00,0.00,53.65
