Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Dynamic Services,,DYNAMIC,Commercial Services & Supplies,140.00,192.45,274.74,36.48,13.28,13.28,11.34,1.03,0.11,7.63,0.64,12.54,185.31,2.10,89.52,13.71,27.97,12.61,0.00,0.00,3.15,65.38
Easy Trip Plann.,543272,EASEMYTRIP,Leisure Services,10.34,3664.58,587.32,145.29,24.74,24.74,34.13,5.11,75.84,10.66,0.05,16.21,495.55,15.93,296.19,130.95,2.07,4.15,-0.43,-1.15,0.25,53.42
Edvenswa Enter,517170,,IT - Software,44.58,130.23,119.47,15.89,13.30,13.30,11.12,1.02,0.18,11.24,0.00,12.99,63.30,-0.03,9.97,3.04,0.00,14.16,0.00,0.00,0.00,55.34
Electrost.Cast.,500128,ELECTCAST,Industrial Products,115.70,7152.46,7319.97,1035.77,14.15,14.15,10.09,1.24,0.37,7.55,0.37,13.03,3734.75,123.11,1482.74,556.52,2463.97,11.06,-0.42,0.21,2.09,51.11
Energy-Mission,,EMMIL,Industrial Manufacturing,214.20,242.61,150.49,21.27,14.13,14.13,19.31,2.85,0.35,10.50,0.29,21.05,68.53,0.46,17.01,14.18,69.52,6.91,2.34,-0.06,1.30,63.16
G M Polyplast,543239,,Industrial Products,78.55,105.72,96.16,11.70,12.17,12.17,14.21,2.70,0.67,16.52,0.02,20.97,32.30,0.08,21.12,4.31,13.75,9.84,0.00,0.00,0.08,59.72
Gem Enviro,544199,,Other Utilities,69.00,155.61,59.20,7.35,12.42,12.42,25.55,3.18,-3.93,12.12,0.00,14.67,46.59,0.83,29.21,9.09,6.58,5.53,-0.94,-0.01,0.00,75.26
Gensol Engineer.,542851,GENSOL,Electrical Equipment,48.72,185.15,1451.84,329.58,22.70,23.86,2.14,0.31,0.01,3.16,2.33,20.10,764.10,3.86,308.51,167.81,3.88,22.62,0.14,4.25,4.66,95.36
Geojit Fin. Ser.,532285,GEOJITFSL,Capital Markets,74.33,2073.99,720.00,256.35,35.60,38.09,13.77,1.83,3.81,8.50,0.13,16.83,725.61,1.43,114.51,48.44,0.00,18.63,0.67,0.11,0.69,53.36
HP Adhesives,543433,HPAL,Chemicals & Petrochemicals,50.03,459.65,251.25,25.56,10.17,10.17,25.77,2.50,0.59,8.39,0.04,10.11,111.02,4.48,41.78,22.95,56.15,5.42,-1.48,-0.12,0.30,53.46
Indian Emuls,,IEML,Chemicals & Petrochemicals,147.50,180.28,101.23,19.62,19.38,19.38,13.55,2.19,0.02,14.67,0.31,24.08,66.49,1.43,30.61,6.41,36.41,9.05,-1.13,-1.27,1.36,63.67
Indo Tech.Trans.,532717,INDOTECH,Electrical Equipment,1747.70,1856.08,611.78,84.62,13.83,13.83,29.04,6.57,0.39,15.50,0.03,25.66,218.09,16.45,122.56,62.30,137.26,5.28,-0.25,-0.08,0.08,53.92
Indo US Bio-Tech,541304,INDOUS,Agricultural Food & other Products,168.55,337.99,103.84,18.94,18.24,18.24,20.76,4.31,0.45,17.85,0.19,23.03,82.29,0.18,15.00,1.16,70.68,5.02,0.00,0.00,0.82,56.60
Insolation Ener,543620,,Power,234.00,5156.00,1269.56,159.92,12.60,12.60,42.24,11.75,0.26,42.22,0.06,49.87,357.59,2.77,32.12,14.66,22.46,3.11,0.27,-0.42,0.16,50.74
Jai Balaji Inds.,532976,JAIBALAJI,Ferrous Metals,116.60,10637.30,6350.80,866.78,13.65,13.65,19.00,5.03,0.15,15.40,0.26,30.75,824.47,67.66,430.28,713.59,1248.21,7.38,0.00,0.07,0.66,51.41
Kabra Jewels,,KKJEWELS,Consumer Durables,111.70,117.13,210.88,26.60,12.61,12.61,10.26,1.47,0.36,6.92,1.19,20.50,161.84,0.33,2.18,7.66,150.24,12.92,,,3.74,57.85
Kamdhenu,532741,KAMDHENU,Industrial Products,29.90,841.35,747.49,75.42,10.09,10.09,13.82,2.63,0.44,18.66,0.00,21.99,239.08,10.46,44.67,27.26,17.15,10.00,0.32,-1.32,0.02,55.57
Kaycee Inds.,504084,,Electrical Equipment,1290.00,409.38,53.20,8.63,16.22,16.22,69.62,14.11,1.49,15.59,0.13,22.25,17.18,0.74,16.24,5.74,3.74,1.98,0.00,0.00,0.44,73.66
Kody Technolab,,KODYTECH,IT - Software,744.65,949.25,71.77,24.93,34.74,34.74,53.87,12.00,0.26,22.82,0.17,30.32,29.28,1.25,34.78,10.00,6.67,2.59,0.06,0.03,0.53,64.28
Lakshya Powertec,,LAKSHYA,,141.75,142.94,160.10,22.64,14.14,14.14,9.04,1.50,0.06,13.54,0.27,25.05,112.39,1.20,67.18,22.63,39.96,13.96,-3.83,-4.27,1.09,62.40
Lorenzini Appar.,540952,LAL,Textiles & Apparels,11.89,205.39,63.42,7.78,12.27,12.27,35.17,4.32,0.13,8.66,0.20,15.88,54.17,3.42,11.45,7.42,40.48,4.16,0.00,-0.07,1.08,66.88
Markolines Pavem,543364,,Construction,133.35,293.43,300.49,37.70,12.55,12.55,13.03,1.65,0.43,7.85,0.36,16.20,185.05,6.22,176.51,42.91,7.96,10.64,0.00,0.00,1.71,52.02
Maruti Interior,543464,,Consumer Durables,101.25,152.89,43.68,8.31,19.02,19.02,31.72,4.27,1.84,10.64,0.22,14.45,19.03,0.19,11.89,4.50,8.93,4.37,0.00,0.00,1.09,55.88
Maxposure,,MAXPOSURE,Entertainment,60.50,137.58,53.90,10.88,20.19,20.19,16.42,2.12,0.07,10.86,0.12,13.87,25.12,1.38,15.40,2.29,0.38,8.42,-0.32,-2.70,0.68,56.47
Mehai Technology,540730,,Commercial Services & Supplies,14.39,498.46,119.46,13.25,11.09,11.09,66.64,4.60,0.33,7.49,0.39,10.63,62.65,0.13,34.27,1.07,17.18,2.37,0.00,0.00,3.00,57.69
Mishtann Foods,539594,,Food Products,6.27,675.65,1375.30,338.92,24.64,24.64,2.07,0.69,,36.46,0.05,44.10,987.38,0.13,1158.45,128.02,2.92,45.96,0.00,-1.37,0.14,64.11
Multibase India,526169,,Chemicals & Petrochemicals,269.05,339.50,70.75,14.78,20.89,20.89,23.18,4.31,0.72,12.57,0.00,13.75,67.35,6.06,10.10,4.79,13.91,6.74,0.00,0.00,0.00,56.73
Nephro Care,,NEPHROCARE,Healthcare Services,137.00,225.86,46.03,5.87,12.75,12.75,62.05,4.22,0.50,8.16,0.00,10.63,14.21,1.53,3.23,3.84,1.23,2.22,-1.17,-0.56,0.00,63.83
Newgen Software,540900,NEWGEN,IT - Software,850.90,12055.43,1492.82,373.52,25.02,25.30,37.97,7.95,1.61,16.52,0.04,22.50,719.84,70.41,556.68,50.47,0.00,3.42,0.33,-0.22,0.13,52.70
Nirman Agri,,NIRMAN,Agricultural Food & other Products,172.20,137.94,236.52,26.55,11.23,11.23,5.45,1.25,0.05,32.15,0.00,34.34,97.75,0.18,37.50,0.34,37.05,21.79,0.00,0.01,0.02,64.45
Owais Metal,,OWAIS,Ferrous Metals,531.00,965.47,213.41,65.90,30.88,30.88,19.40,8.66,,34.51,0.23,55.32,85.29,-2.45,90.33,41.31,41.01,6.79,-0.21,-0.12,0.39,66.14
Paisalo Digital,532900,PAISALO,Finance,32.84,2962.51,803.26,621.59,77.38,77.99,14.39,1.93,0.40,4.26,2.32,13.93,52.13,0.78,21.21,34.27,0.00,9.25,-0.43,-2.30,5.79,54.01
Panch.Organics,531726,,Pharmaceuticals & Biotechnology,143.00,188.35,107.18,17.59,16.41,16.41,13.67,1.42,0.75,8.56,0.04,10.65,69.71,3.07,34.80,16.39,45.90,9.74,-0.98,0.00,0.29,53.86
Par Drugs & Che.,,PAR,Pharmaceuticals & Biotechnology,110.18,135.57,100.97,19.50,19.31,19.31,10.14,1.37,0.77,12.09,0.00,14.47,38.29,2.15,16.71,10.89,6.11,16.25,0.00,0.00,0.00,68.38
PMC Fincorp,534060,,Finance,2.09,148.82,21.53,19.78,91.87,91.87,10.37,0.90,0.10,8.05,0.27,10.10,45.36,0.00,0.00,0.00,0.39,13.27,0.00,0.00,2.35,60.19
Power & Instrum.,543912,PIGL,Electrical Equipment,121.60,212.59,168.84,17.15,10.16,10.16,18.09,1.92,0.30,8.37,0.17,14.53,95.69,2.43,60.45,30.48,47.80,8.23,0.08,0.00,0.95,70.84
Pratham EPC,,PRATHAM,Construction,142.65,259.80,118.90,17.41,14.64,14.64,18.96,3.40,0.41,14.79,0.16,20.23,69.84,3.88,30.71,3.87,37.00,7.47,-0.02,-1.13,0.60,53.69
Quest Flow,543982,,Industrial Products,409.10,415.64,67.21,12.47,18.55,18.55,61.15,,,7.16,0.29,10.74,55.62,0.73,46.22,13.12,8.97,2.30,0.05,4.23,2.01,68.06
Rajeshwari Cans,543285,,Industrial Products,149.25,156.59,40.24,4.70,11.68,11.68,81.56,13.05,1.14,7.56,0.80,17.41,6.96,0.18,6.74,6.22,5.75,2.06,0.00,0.00,2.82,57.66
Rajoo Engineers,522257,RAJOOENG,Industrial Manufacturing,115.00,2054.77,287.86,58.03,20.16,18.37,43.11,11.56,1.17,13.82,0.00,26.30,95.67,5.95,15.09,30.03,130.36,2.89,0.00,-0.05,0.00,65.46
RBM Infracon,,RBMINFRA,Commercial Services & Supplies,467.15,471.96,321.75,42.95,13.35,13.35,16.01,3.35,0.11,11.48,0.08,24.93,127.67,0.78,67.27,47.84,69.13,8.53,0.00,0.01,0.28,55.47
Refractory Shap.,,REFRACTORY,Industrial Products,54.90,119.68,58.77,10.30,17.53,17.53,19.78,2.66,0.70,10.05,0.38,18.54,28.92,1.05,12.69,5.39,16.76,6.70,-0.15,0.37,1.92,77.63
Resgen,543805,,Petroleum Products,82.39,172.81,65.16,15.38,23.60,23.60,21.66,3.01,0.18,11.71,0.08,14.89,39.14,0.00,19.79,2.91,23.90,6.63,0.00,0.00,0.39,54.94
Revathi Equip,544246,RVTH,Industrial Manufacturing,1059.80,325.03,178.53,29.13,16.32,16.32,16.11,2.58,0.75,8.47,0.29,17.56,122.85,10.31,25.15,29.51,68.46,10.12,0.00,-0.04,0.98,71.12
