Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
C.E. Info System,543425.0,MAPMYINDIA,INE0BV301023,IT - Software,Software Products,967.4,46.09,5297.57,472.61,160.3,33.92,37.99,40.16,6.38,1.56,14.74,0.01,17.62,432.31,57.89,174.44,62.9,10.71,3.75,0.36,-0.75,0.05,0.37,53.13
C2C Advanced,,C2C,INE0U7V01015,Aerospace & Defense,Aerospace & Defense,424.5,47.76,720.33,137.99,57.18,41.44,36.01,16.82,3.19,0.12,16.56,0.22,21.05,188.15,4.11,166.92,2.14,56.88,7.45,-1.77,1.24,0.82,0.0,52.2
Ceinsys Tech,538734.0,CEINSYS,INE016Q01014,IT - Software,Computers - Software & Consulting,915.0,35.37,1915.82,660.7,146.03,22.1,22.1,14.23,2.88,0.22,17.82,0.08,24.76,536.19,27.72,149.59,155.53,0.82,9.82,-0.04,5.92,0.35,0.38,53.13
Chetana Educa.,,CHETANA,INE0U1T01012,Printing & Publication,Printing & Publication,51.45,64.58,104.95,102.93,19.42,18.87,22.72,8.18,1.19,,12.58,0.06,25.94,83.44,0.23,67.63,1.98,20.78,17.19,-1.51,0.0,0.26,0.0,57.13
Clean Science,543318.0,CLEAN,INE227W01023,Chemicals & Petrochemicals,Specialty Chemicals,763.15,40.96,8110.56,956.55,355.04,37.12,37.12,35.23,5.13,-4.39,13.58,0.0,15.31,663.01,32.56,206.42,115.74,153.72,3.91,-2.62,3.37,0.01,0.8,52.3
Concord Enviro,544315.0,CEWATER,INE037Z01029,Other Utilities,Waste Management,285.8,39.67,591.52,558.81,67.98,12.17,15.66,10.66,1.09,0.23,6.98,0.3,12.03,371.38,18.69,179.31,145.7,201.33,12.35,-3.42,1.02,2.05,0.0,57.0
Credo Brands,544058.0,MUFTI,INE220Q01020,Retailing,Speciality Retail,78.49,44.92,513.11,583.01,153.78,26.38,29.29,10.93,1.23,0.41,9.36,0.58,18.41,303.28,8.11,269.01,22.75,105.25,12.35,1.03,0.0,2.71,3.8,58.47
Deepak Builders,544276.0,DBEIL,INE0OPA01019,Construction,Civil Construction,76.04,42.11,354.2,542.35,76.68,14.14,19.2,9.77,0.83,0.21,8.16,0.35,19.81,404.62,5.37,100.81,100.4,387.34,15.26,6.85,-0.07,2.02,1.33,59.03
DSM Fresh,544568.0,,INE0SUM01015,Food Products,Meat Products including Poultry,102.4,46.81,228.23,159.66,26.4,16.54,12.48,16.51,,0.17,13.5,0.81,20.8,38.93,0.5,37.42,1.37,8.25,9.3,-4.31,-5.2,1.79,0.0,50.77
Earkart,544549.0,,INE1A8F01035,Healthcare Equipment & Supplies,Medical Equipment & Supplies,130.0,42.91,178.81,43.11,9.79,22.71,22.71,32.99,,0.11,27.78,0.09,41.77,61.57,0.09,22.1,4.28,3.55,7.0,9.34,-5.14,0.59,0.0,51.12
Ecos (India),544239.0,ECOSMOBLTY,INE06HJ01020,Transport Services,Road Transport,128.99,42.08,773.94,753.68,95.12,12.62,14.5,13.1,3.37,0.15,17.86,0.03,28.31,171.07,10.64,92.92,87.09,0.0,10.49,-0.1,-0.58,0.1,1.88,64.01
EFC (I),512008.0,EFCIL,INE886D01026,Commercial Services & Supplies,Diversified Commercial Services,181.23,40.08,2681.21,954.81,433.96,45.45,49.89,14.63,4.27,0.01,10.52,1.77,23.27,30.17,18.18,155.13,97.38,29.04,9.32,0.55,-0.19,3.26,0.0,50.74
Ellen.Indl.Gas,544421.0,ELLEN,INE236E01022,Chemicals & Petrochemicals,Industrial Gases,279.35,54.57,3937.03,336.62,113.65,33.76,35.15,39.49,4.27,1.65,10.57,0.13,17.76,183.51,46.89,77.29,10.19,13.23,3.6,-2.4,0.48,0.86,0.0,56.19
